CODE_GENDER,FLAG_OWN_CAR,AMT_INCOME_TOTAL,AMT_CREDIT,AMT_ANNUITY,AMT_GOODS_PRICE,REGION_POPULATION_RELATIVE,DAYS_BIRTH,DAYS_EMPLOYED,DAYS_REGISTRATION,DAYS_ID_PUBLISH,OWN_CAR_AGE,HOUR_APPR_PROCESS_START,REG_REGION_NOT_LIVE_REGION,REG_CITY_NOT_WORK_CITY,EXT_SOURCE_2,EXT_SOURCE_3,YEARS_BEGINEXPLUATATION_AVG,FLOORSMAX_AVG,FLOORSMAX_MODE,YEARS_BEGINEXPLUATATION_MEDI,FLOORSMAX_MEDI,TOTALAREA_MODE,DEF_30_CNT_SOCIAL_CIRCLE,OBS_60_CNT_SOCIAL_CIRCLE,DAYS_LAST_PHONE_CHANGE,FLAG_DOCUMENT_3,AMT_REQ_CREDIT_BUREAU_YEAR,NAME_TYPE_SUITE_Unaccompanied,NAME_INCOME_TYPE_State servant,NAME_INCOME_TYPE_Working,NAME_EDUCATION_TYPE_Higher education,NAME_EDUCATION_TYPE_Secondary / secondary special,NAME_FAMILY_STATUS_Married,NAME_FAMILY_STATUS_Single / not married,NAME_HOUSING_TYPE_Office apartment,OCCUPATION_TYPE_High skill tech staff,OCCUPATION_TYPE_Laborers,OCCUPATION_TYPE_Medicine staff,ORGANIZATION_TYPE_School,ORGANIZATION_TYPE_Self-employed,FONDKAPREMONT_MODE_reg oper account,DAYS_EMPLOYED_PERC,INCOME_CREDIT_PERC,INCOME_PER_PERSON,ANNUITY_INCOME_PERC,PAYMENT_RATE,credit_annuity_ratio,credit_goods_price_ratio,credit_downpayment,SK_ID_CURR
1,0,157500.0,700830.0,22738.5,585000.0,0.01885,45.0,-3592.0,-3627.0,-44,0.0,10,0,0,0.6717825437089173,0.5937175866150576,0.9816,0.1667,0.1667,0.9816,0.1667,0.0688,0.0,0.0,-2709.0,1,1.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0.21745974088872744,0.22473353024271223,78750.0,0.14437142857142857,0.03244510080904071,30.82129428062537,1.198,0.8347245409015025,100207
1,0,135000.0,244998.0,16704.0,175500.0,0.007305,33.0,-3815.0,-1049.0,-4530,0.0,11,0,1,0.0436204200225818,0.5352762504724826,0.9816,0.1667,0.1667,0.9816,0.1667,0.0688,0.0,0.0,-2957.0,1,1.0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0.31437989287185825,0.551024906325766,45000.0,0.12373333333333333,0.06818014840937477,14.667025862068966,1.396,0.7163323782234957,100690
1,0,65250.0,594000.0,19291.5,594000.0,0.015221,38.0,-244.0,-1949.0,-4382,0.0,12,0,0,0.7573437589931549,0.3123653692278984,0.9816,0.1667,0.1667,0.9816,0.1667,0.0688,0.0,0.0,0.0,0,0.0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0.01776095501528607,0.10984848484848485,21750.0,0.2956551724137931,0.03247727272727273,30.790762771168648,1.0,1.0,102069
0,0,180000.0,1067940.0,34578.0,765000.0,0.018634,39.0,-1101.0,-2997.0,-4716,0.0,18,0,1,0.5508318015213598,0.3556387169923543,0.9816,0.1667,0.1667,0.9816,0.1667,0.0688,0.0,0.0,-1505.0,1,5.0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0.07735000702543206,0.16854879487611663,60000.0,0.1921,0.032378223495702005,30.884955752212388,1.396,0.7163323782234957,112361
1,0,103500.0,755190.0,32125.5,675000.0,0.006852,45.0,-594.0,-7927.0,-3938,0.0,7,0,0,0.4663711854958713,0.5064842396679806,0.9732,0.125,0.125,0.9732,0.125,0.0311,0.0,0.0,-1339.0,1,2.0,1,0,1,1,0,0,0,0,0,0,0,0,1,1,0.03646185010128292,0.1370516029078775,51750.0,0.3103913043478261,0.042539625789536406,23.507494046785265,1.1188,0.8938148015731141,113104
1,1,72000.0,135000.0,5944.5,135000.0,0.009549,63.0,-1648.0,-9245.0,-4596,6.0,10,0,0,0.6054847558484658,0.6832688314232291,0.9881,0.125,0.0833,0.9881,0.125,0.0225,0.0,0.0,-1206.0,0,9.0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0.11873272799052507,0.5333333333333333,36000.0,0.0825625,0.044033333333333334,22.71006813020439,1.0,1.0,119669
1,1,67500.0,253737.0,25096.5,229500.0,0.020246,32.0,-1829.0,-5469.0,-3850,15.0,11,0,0,0.2111192216824824,0.6430255641096323,0.9697,0.0417,0.0417,0.9697,0.0417,0.0141,0.0,2.0,0.0,1,1.0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0.1556463279720875,0.26602348100592343,22500.0,0.3718,0.09890753023800235,10.110453648915188,1.105607843137255,0.9044798354201398,122443
1,0,135000.0,273028.5,23346.0,225000.0,0.0196889999999999,32.0,-393.0,-5885.0,-813,0.0,10,0,0,0.5891389922626871,0.3170317785834444,0.9816,0.1667,0.1667,0.9816,0.1667,0.0688,1.0,2.0,0.0,1,1.0,1,0,1,0,1,1,0,0,0,0,0,0,1,0,0.0336991939632996,0.49445387569429566,33750.0,0.17293333333333333,0.0855075569034002,11.694872783346183,1.21346,0.8240897928238261,123628
0,0,135000.0,1125000.0,33025.5,1125000.0,0.0145199999999999,34.0,-798.0,-2211.0,-4280,0.0,11,0,0,0.4012454143937314,0.3842068130556564,0.9866,0.3333,0.3333,0.9866,0.3333,0.1187,0.0,1.0,-556.0,0,1.0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0.06398845321145057,0.12,45000.0,0.24463333333333334,0.029356,34.06458645592043,1.0,1.0,125006
0,0,112500.0,182016.0,14508.0,144000.0,0.035792,49.0,-1518.0,-3621.0,-1241,0.0,11,0,1,0.6540970926519695,0.7295666907060153,0.9816,0.1667,0.1667,0.9816,0.1667,0.0688,0.0,8.0,-1679.0,1,0.0,1,0,1,0,1,1,0,0,0,1,0,0,0,0,0.08570944610693919,0.6180775316455697,37500.0,0.12896,0.07970727848101265,12.54590570719603,1.264,0.7911392405063291,128057
