SK_ID_CURR,TARGET,NAME_CONTRACT_TYPE,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,AMT_CREDIT,AMT_ANNUITY,AMT_GOODS_PRICE,NAME_TYPE_SUITE,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,REGION_POPULATION_RELATIVE,DAYS_BIRTH,DAYS_EMPLOYED,DAYS_REGISTRATION,DAYS_ID_PUBLISH,OWN_CAR_AGE,FLAG_MOBIL,FLAG_EMP_PHONE,FLAG_WORK_PHONE,FLAG_CONT_MOBILE,FLAG_PHONE,FLAG_EMAIL,OCCUPATION_TYPE,CNT_FAM_MEMBERS,REGION_RATING_CLIENT,REGION_RATING_CLIENT_W_CITY,WEEKDAY_APPR_PROCESS_START,HOUR_APPR_PROCESS_START,REG_REGION_NOT_LIVE_REGION,REG_REGION_NOT_WORK_REGION,LIVE_REGION_NOT_WORK_REGION,REG_CITY_NOT_LIVE_CITY,REG_CITY_NOT_WORK_CITY,LIVE_CITY_NOT_WORK_CITY,ORGANIZATION_TYPE,EXT_SOURCE_1,EXT_SOURCE_2,EXT_SOURCE_3,APARTMENTS_AVG,BASEMENTAREA_AVG,YEARS_BEGINEXPLUATATION_AVG,YEARS_BUILD_AVG,COMMONAREA_AVG,ELEVATORS_AVG,ENTRANCES_AVG,FLOORSMAX_AVG,FLOORSMIN_AVG,LANDAREA_AVG,LIVINGAPARTMENTS_AVG,LIVINGAREA_AVG,NONLIVINGAPARTMENTS_AVG,NONLIVINGAREA_AVG,APARTMENTS_MODE,BASEMENTAREA_MODE,YEARS_BEGINEXPLUATATION_MODE,YEARS_BUILD_MODE,COMMONAREA_MODE,ELEVATORS_MODE,ENTRANCES_MODE,FLOORSMAX_MODE,FLOORSMIN_MODE,LANDAREA_MODE,LIVINGAPARTMENTS_MODE,LIVINGAREA_MODE,NONLIVINGAPARTMENTS_MODE,NONLIVINGAREA_MODE,APARTMENTS_MEDI,BASEMENTAREA_MEDI,YEARS_BEGINEXPLUATATION_MEDI,YEARS_BUILD_MEDI,COMMONAREA_MEDI,ELEVATORS_MEDI,ENTRANCES_MEDI,FLOORSMAX_MEDI,FLOORSMIN_MEDI,LANDAREA_MEDI,LIVINGAPARTMENTS_MEDI,LIVINGAREA_MEDI,NONLIVINGAPARTMENTS_MEDI,NONLIVINGAREA_MEDI,FONDKAPREMONT_MODE,HOUSETYPE_MODE,TOTALAREA_MODE,WALLSMATERIAL_MODE,EMERGENCYSTATE_MODE,OBS_30_CNT_SOCIAL_CIRCLE,DEF_30_CNT_SOCIAL_CIRCLE,OBS_60_CNT_SOCIAL_CIRCLE,DEF_60_CNT_SOCIAL_CIRCLE,DAYS_LAST_PHONE_CHANGE,FLAG_DOCUMENT_2,FLAG_DOCUMENT_3,FLAG_DOCUMENT_4,FLAG_DOCUMENT_5,FLAG_DOCUMENT_6,FLAG_DOCUMENT_7,FLAG_DOCUMENT_8,FLAG_DOCUMENT_9,FLAG_DOCUMENT_10,FLAG_DOCUMENT_11,FLAG_DOCUMENT_12,FLAG_DOCUMENT_13,FLAG_DOCUMENT_14,FLAG_DOCUMENT_15,FLAG_DOCUMENT_16,FLAG_DOCUMENT_17,FLAG_DOCUMENT_18,FLAG_DOCUMENT_19,FLAG_DOCUMENT_20,FLAG_DOCUMENT_21,AMT_REQ_CREDIT_BUREAU_HOUR,AMT_REQ_CREDIT_BUREAU_DAY,AMT_REQ_CREDIT_BUREAU_WEEK,AMT_REQ_CREDIT_BUREAU_MON,AMT_REQ_CREDIT_BUREAU_QRT,AMT_REQ_CREDIT_BUREAU_YEAR,DAYS_EMPLOYED_PERC,INCOME_CREDIT_PERC,INCOME_PER_PERSON,ANNUITY_INCOME_PERC,PAYMENT_RATE,credit_annuity_ratio,credit_goods_price_ratio,credit_downpayment
100207,0,Cash loans,F,N,Y,0,157500.0,700830.0,22738.5,585000.0,"Spouse, partner",Working,Secondary / secondary special,Civil marriage,House / apartment,0.01885,45.0,-3592.0,-3627.0,-44,,1,1,0,1,0,0,Waiters/barmen staff,2.0,2,2,SATURDAY,10,0,0,0,0,0,0,Government,,0.6717825437089173,0.5937175866150576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,-2709.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.21745974088872744,0.22473353024271223,78750.0,0.14437142857142857,0.03244510080904071,30.82129428062537,1.198,0.8347245409015025
100690,1,Cash loans,F,N,Y,1,135000.0,244998.0,16704.0,175500.0,Unaccompanied,Working,Secondary / secondary special,Civil marriage,House / apartment,0.007305,33.0,-3815.0,-1049.0,-4530,,1,1,0,1,0,0,Laborers,3.0,3,3,THURSDAY,11,0,0,0,1,1,0,Self-employed,,0.0436204200225818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,-2957.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0.31437989287185825,0.551024906325766,45000.0,0.12373333333333333,0.06818014840937477,14.667025862068966,1.396,0.7163323782234957
102069,0,Cash loans,F,N,Y,1,65250.0,594000.0,19291.5,594000.0,Unaccompanied,Working,Higher education,Married,House / apartment,0.015221,38.0,-244.0,-1949.0,-4382,,1,1,0,1,0,0,Core staff,3.0,2,2,FRIDAY,12,0,0,0,0,0,0,Government,0.5562394708870916,0.7573437589931549,0.3123653692278984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.01776095501528607,0.10984848484848485,21750.0,0.2956551724137931,0.03247727272727273,30.790762771168648,1.0,1.0
112361,1,Cash loans,M,N,N,1,180000.0,1067940.0,34578.0,765000.0,Family,Working,Secondary / secondary special,Married,Rented apartment,0.018634,39.0,-1101.0,-2997.0,-4716,,1,1,0,1,0,0,Laborers,3.0,2,2,WEDNESDAY,18,0,0,0,1,1,0,Construction,,0.5508318015213598,0.3556387169923543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,-1505.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,5.0,0.07735000702543206,0.16854879487611663,60000.0,0.1921,0.032378223495702005,30.884955752212388,1.396,0.7163323782234957
113104,1,Cash loans,F,N,Y,1,103500.0,755190.0,32125.5,675000.0,Unaccompanied,Working,Higher education,Widow,House / apartment,0.006852,45.0,-594.0,-7927.0,-3938,,1,1,0,1,0,0,Cooking staff,2.0,3,3,MONDAY,7,0,0,0,0,0,0,Self-employed,0.6348687474244895,0.4663711854958713,0.5064842396679806,0.0495,0.0534,0.9732,0.6328,0.0396,0.0,0.1034,0.125,0.1667,0.0,0.0403,0.0396,0.0,0.0,0.0504,0.0554,0.9732,0.6472,0.04,0.0,0.1034,0.125,0.1667,0.0,0.0441,0.0412,0.0,0.0,0.05,0.0534,0.9732,0.6377,0.0399,0.0,0.1034,0.125,0.1667,0.0,0.041,0.0403,0.0,0.0,reg oper account,block of flats,0.0311,"Stone, brick",No,0.0,0.0,0.0,0.0,-1339.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2.0,2.0,0.03646185010128292,0.1370516029078775,51750.0,0.3103913043478261,0.042539625789536406,23.507494046785265,1.1188,0.8938148015731141
119669,0,Cash loans,F,Y,Y,0,72000.0,135000.0,5944.5,135000.0,Family,Pensioner,Secondary / secondary special,Married,House / apartment,0.009549,63.0,,-9245.0,-4596,6.0,1,0,0,1,0,0,,2.0,2,2,MONDAY,10,0,0,0,0,0,0,XNA,,0.6054847558484658,0.6832688314232291,0.0433,0.0495,0.9881,0.8368,0.0088,0.0,0.0862,0.125,0.0417,0.0576,0.0353,0.0451,0.0,0.0,0.0252,0.0513,0.9871,0.8301,0.0036,0.0,0.069,0.0833,0.0417,0.0385,0.022,0.0272,0.0,0.0,0.0437,0.0495,0.9881,0.8390000000000001,0.0089,0.0,0.0862,0.125,0.0417,0.0586,0.0359,0.0459,0.0,0.0,reg oper account,block of flats,0.0225,"Stone, brick",No,0.0,0.0,0.0,0.0,-1206.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,9.0,,0.5333333333333333,36000.0,0.0825625,0.044033333333333334,22.71006813020439,1.0,1.0
122443,1,Cash loans,F,Y,Y,1,67500.0,253737.0,25096.5,229500.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.020246,32.0,-1829.0,-5469.0,-3850,15.0,1,1,0,1,1,0,Security staff,3.0,3,3,THURSDAY,11,0,0,0,0,0,0,Security,,0.2111192216824824,0.6430255641096323,0.0124,0.0,0.9697,0.5852,0.0021,0.0,0.069,0.0417,0.0833,0.0465,0.0101,0.0165,0.0,0.0,0.0126,0.0,0.9697,0.6014,0.0021,0.0,0.069,0.0417,0.0833,0.0476,0.011,0.0172,0.0,0.0,0.0125,0.0,0.9697,0.5907,0.0021,0.0,0.069,0.0417,0.0833,0.0473,0.0103,0.0168,0.0,0.0,not specified,block of flats,0.0141,"Stone, brick",Yes,2.0,0.0,2.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,1.0,0.1556463279720875,0.26602348100592343,22500.0,0.3718,0.09890753023800235,10.110453648915188,1.105607843137255,0.9044798354201398
123628,1,Cash loans,F,N,Y,2,135000.0,273028.5,23346.0,225000.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.0196889999999999,32.0,-393.0,-5885.0,-813,,1,1,0,1,0,1,,4.0,2,2,WEDNESDAY,10,0,0,0,0,0,0,Self-employed,0.4028076448631632,0.5891389922626871,0.3170317785834444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,2.0,1.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2.0,1.0,0.0336991939632996,0.49445387569429566,33750.0,0.17293333333333333,0.0855075569034002,11.694872783346183,1.21346,0.8240897928238261
125006,1,Cash loans,M,N,Y,1,135000.0,1125000.0,33025.5,1125000.0,Unaccompanied,Working,Secondary / secondary special,Married,Office apartment,0.0145199999999999,34.0,-798.0,-2211.0,-4280,,1,1,0,1,0,0,,3.0,2,2,MONDAY,11,0,0,0,0,0,0,Business Entity Type 2,0.3058022809741937,0.4012454143937314,0.3842068130556564,0.2124,0.0918,0.9866,,,0.08,0.069,0.3333,,0.1533,,0.1279,,0.0,0.2164,0.0953,0.9866,,,0.0806,0.069,0.3333,,0.1568,,0.1333,,0.0,0.2144,0.0918,0.9866,,,0.08,0.069,0.3333,,0.156,,0.1302,,0.0,,block of flats,0.1187,Panel,No,2.0,0.0,1.0,0.0,-556.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.06398845321145057,0.12,45000.0,0.24463333333333334,0.029356,34.06458645592043,1.0,1.0
128057,0,Cash loans,M,N,Y,1,112500.0,182016.0,14508.0,144000.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.035792,49.0,-1518.0,-3621.0,-1241,,1,1,0,1,0,0,Laborers,3.0,2,2,FRIDAY,11,0,0,0,0,1,1,Business Entity Type 3,0.3278890318004643,0.6540970926519695,0.7295666907060153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,0.0,8.0,0.0,-1679.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.08570944610693919,0.6180775316455697,37500.0,0.12896,0.07970727848101265,12.54590570719603,1.264,0.7911392405063291
